"","year","yday","hour","X","datetime","do","wtemp","do_eq","o2_sat","par","wspeed","PAR_Kd","par_int","z","k","series","unique_series","series_length","unique_day","index"
"1",2021,182,0,481,2021-07-01 00:00:00,8.6735,14.553,8.09619968635416,1.0713050981955,0,0,0.07549272,1e-05,3,0.00772982012628527,1,1,3580,1,1
"2",2021,182,1,484,2021-07-01 01:00:00,8.59066666666667,14.8958333333333,8.03545045122391,1.0690958420829,0,0,0.07549272,1e-05,3,0.00780054264001269,1,1,3580,1,2
"3",2021,182,2,487,2021-07-01 02:00:00,8.51475,15.3255833333333,7.960411538298,1.06963690998073,0,0,0.07549272,1e-05,3,0.00788971744765959,1,1,3580,1,3
"4",2021,182,3,490,2021-07-01 03:00:00,8.4935,15.4335,7.9417593497045,1.06947335294364,0,0,0.07549272,1e-05,3,0.00791219966238437,1,1,3580,1,4
"5",2021,182,4,493,2021-07-01 04:00:00,8.28966666666667,16.06675,7.83382339578967,1.05818911760533,15.855,0,0.07549272,14.1877951246715,3,0.00804482123310334,1,1,3580,1,5
"6",2021,182,5,496,2021-07-01 05:00:00,8.20633333333333,16.22175,7.80779185402022,1.05104407068791,86.674,0,0.07549272,77.5599466815377,3,0.00807745967397982,1,1,3580,1,6
"7",2021,182,6,499,2021-07-01 06:00:00,8.17408333333333,16.3119166666667,7.7927178371711,1.04893870202038,516.873,0,0.07549272,462.522121064291,3,0.00809647729313917,1,1,3580,1,7
"8",2021,182,7,502,2021-07-01 07:00:00,8.08125,16.8024166666667,7.7115943818317,1.04793504428075,1127.819,0,0.07549272,1009.2251598683,3,0.00820032476770563,1,1,3580,1,8
"9",2021,182,8,505,2021-07-01 08:00:00,8.029,17.1070833333333,7.66194081117815,1.04790681602321,1546.391,0,0.07549272,1383.78295115963,3,0.0082651537821247,1,1,3580,1,9
"10",2021,182,9,508,2021-07-01 09:00:00,8.10966666666667,17.1659166666667,7.65241623932422,1.0597524249913,1858.206,0,0.07549272,1662.8095886115,3,0.00827770077423906,1,1,3580,1,10
"11",2021,182,10,511,2021-07-01 10:00:00,8.36908333333333,16.0495,7.83672978155216,1.06793057392822,2054.808,0,0.07549272,1838.73824815743,3,0.00804119311272377,1,1,3580,1,11
"12",2021,182,11,514,2021-07-01 11:00:00,8.59133333333333,15.1098333333333,7.99793073678472,1.07419451556631,2133.026,0,0.07549272,1908.73137077247,3,0.00784487694592107,1,1,3580,1,12
"13",2021,182,12,517,2021-07-01 12:00:00,8.60816666666667,15.1695,7.98752391095455,1.07770152085065,2105.544,0,0.07549272,1884.13919255638,3,0.00785726347702335,1,1,3580,1,13
"14",2021,182,13,520,2021-07-01 13:00:00,8.70216666666667,15.1076666666667,7.99830908190795,1.0880007983626,1967.077,0,0.07549272,1760.23244846758,3,0.00784442736292494,1,1,3580,1,14
"15",2021,182,14,523,2021-07-01 14:00:00,8.64641666666667,15.1443333333333,7.9919105090306,1.08189608190638,1715.511,0,0.07549272,1535.11943248946,3,0.00785203764873664,1,1,3580,1,15
"16",2021,182,15,526,2021-07-01 15:00:00,8.5915,15.3928333333333,7.9487791968318,1.08085780058205,1374.1,0,0.07549272,1229.60891080486,3,0.00790372345983561,1,1,3580,1,16
"17",2021,182,16,529,2021-07-01 16:00:00,8.5405,15.6079166666667,7.91177357269913,1.07946719171418,1004.15,0,0.07549272,898.560357895863,3,0.00794860987521897,1,1,3580,1,17
"18",2021,182,17,532,2021-07-01 17:00:00,8.45325,15.9045,7.861234545536,1.07530820395127,528.5,0,0.07549272,472.926504155717,3,0.00801072961203738,1,1,3580,1,18
"19",2021,182,18,535,2021-07-01 18:00:00,8.35158333333333,16.4310833333333,7.77287303798069,1.07445255988679,258.965,0,0.07549272,231.733987036301,3,0.00812164628512369,1,1,3580,1,19
"20",2021,182,19,538,2021-07-01 19:00:00,8.34441666666667,16.57925,7.7483210191916,1.07693223422192,78.218,0,0.07549272,69.9931226150461,3,0.00815299499751893,1,1,3580,1,20
"21",2021,182,20,541,2021-07-01 20:00:00,8.37058333333333,16.32175,7.79107696354677,1.07438077848518,9.513,0,0.07549272,8.51267707480291,3,0.00809855267957862,1,1,3580,1,21
"22",2021,182,21,544,2021-07-01 21:00:00,8.39708333333333,16.1144166666667,7.82580195573195,1.07299972332969,0,0,0.07549272,1e-05,3,0.00805485117475154,1,1,3580,1,22
"23",2021,182,22,547,2021-07-01 22:00:00,8.69058333333333,14.6791666666667,8.07375064840574,1.07639976905274,0,0,0.07549272,1e-05,3,0.00775580306020676,1,1,3580,1,23
"24",2021,182,23,550,2021-07-01 23:00:00,8.70933333333333,14.6388333333333,8.0809154399747,1.07776568113186,0,0,0.07549272,1e-05,3,0.00774749117649396,1,1,3580,1,24
"25",2021,183,0,553,2021-07-02 00:00:00,8.67558333333333,14.6688333333333,8.07558520324334,1.0742977895706,0,0,0.0758159826,1e-05,3,0.00775367307100602,1,1,3580,2,25
