"","datetime","do.obs","wtr","do_eq","o2_sat","par","wspeed","yday","year","PAR_Kd","par_int"
"481",2021-07-01 00:00:00,7.87458333333333,19.0248333333333,7.36170919195023,1.06966780784331,0,0,182,2021,0.07549272,0
"484",2021-07-01 01:00:00,7.809,19.0419166666667,7.35912645887071,1.06113137797585,0,0,182,2021,0.07549272,0
"487",2021-07-01 02:00:00,8.28391666666667,17.9346666666667,7.52982502885136,1.10014729889817,0,0,182,2021,0.07549272,0
"490",2021-07-01 03:00:00,8.55941666666667,17.00725,7.67815005145888,1.11477590426099,0,0,182,2021,0.07549272,0
"493",2021-07-01 04:00:00,8.50458333333333,16.56525,7.75063512928848,1.09727566727994,0,0,182,2021,0.07549272,0
"496",2021-07-01 05:00:00,8.39216666666667,16.4865833333333,7.76366057821439,1.08095486428347,10.9223333333333,0,182,2021,0.07549272,9.77381441921815
"499",2021-07-01 06:00:00,8.36666666666667,16.3589166666667,7.78488043632284,1.0747328408063,46.3318333333333,0,182,2021,0.07549272,41.4598901976512
"502",2021-07-01 07:00:00,8.4905,17.0615833333333,7.66932095580833,1.10707324011127,152.031833333333,0,182,2021,0.07549272,136.045191028795
"505",2021-07-01 08:00:00,8.15608333333333,18.3153333333333,7.47037396917176,1.09179050031381,727.920666666667,0.0449219933262507,182,2021,0.07549272,651.377438390475
"508",2021-07-01 09:00:00,7.87225,18.86975,7.38522712750018,1.06594555104288,1352.07916666667,0.202148969968128,182,2021,0.07549272,1209.90363979838
"511",2021-07-01 10:00:00,7.78875,19.13825,7.34459158591832,1.06047421546669,1705.64566666667,0.29199295662063,182,2021,0.07549272,1526.29147107855
"514",2021-07-01 11:00:00,7.771,19.3201666666667,7.31727847419842,1.06200686872878,1886.92116666667,0.426758936599382,182,2021,0.07549272,1688.50526200396
"517",2021-07-01 12:00:00,7.77775,19.4884166666667,7.29217276525796,1.06658882755157,1968.31016666667,0.33691494994688,182,2021,0.07549272,1761.33594364394
"520",2021-07-01 13:00:00,7.84691666666667,19.6575,7.26709182661756,1.07978774093997,1922.50683333333,0.33691494994688,182,2021,0.07549272,1720.34897995045
"523",2021-07-01 14:00:00,8.02483333333333,19.3143333333333,7.3181515762767,1.09656560808982,1765.7185,0.471680929925633,182,2021,0.07549272,1580.04745038425
"526",2021-07-01 15:00:00,8.13416666666667,19.2675833333333,7.3251553583871,1.11044288737894,1507.282,0.404297939936257,182,2021,0.07549272,1348.78638985211
"529",2021-07-01 16:00:00,7.98541666666667,19.172,7.33951106208103,1.08800390095774,1028.28483333333,0.560526650059773,182,2021,0.07549272,920.157334918974
"532",2021-07-01 17:00:00,8.07508333333333,19.1389166666667,7.34449117116218,1.09947485062543,357.442166666667,0.359375946610006,182,2021,0.07549272,319.855958977317
"535",2021-07-01 18:00:00,7.86666666666667,20.208,7.18645272003169,1.09465225378008,193.431,0.0898439866525015,182,2021,0.07549272,173.091100520993
"538",2021-07-01 19:00:00,7.74441666666667,20.4276666666667,7.15470315469988,1.08242319761085,101.295833333333,0,182,2021,0.07549272,90.6442466298458
"541",2021-07-01 20:00:00,7.6905,20.5338333333333,7.13944446095009,1.07718465240033,6.51816666666667,0.0224609966631254,182,2021,0.07549272,5.83276021792051
"544",2021-07-01 21:00:00,7.6775,20.50725,7.1432598840854,1.07478939931961,0,0,182,2021,0.07549272,0
"547",2021-07-01 22:00:00,7.59483333333333,20.4194166666667,7.15589121854287,1.06133996470671,0,0,182,2021,0.07549272,0
"550",2021-07-01 23:00:00,7.63366666666667,20.1020833333333,7.20184793714974,1.05995943447923,0,0,182,2021,0.07549272,0
"553",2021-07-02 00:00:00,7.59891666666667,19.9513333333333,7.22385770482379,1.05191948362887,0,0,183,2021,0.0758159826,0
"555",2021-07-02 01:00:00,7.71308333333333,19.4980833333333,7.29073484651896,1.0579294811436,0,0,183,2021,0.0758159826,0
"557",2021-07-02 02:00:00,7.99566666666667,18.3306666666667,7.46799629595747,1.07065755656505,0,0,183,2021,0.0758159826,0
"559",2021-07-02 03:00:00,8.0935,18.021,7.51627016032868,1.07679737786941,0,0.0224609966631254,183,2021,0.0758159826,0
"561",2021-07-02 04:00:00,8.15625,17.6891666666667,7.56860239711983,1.07764281594496,0,0,183,2021,0.0758159826,0
"563",2021-07-02 05:00:00,8.39491666666667,17.0663333333333,7.66854992454409,1.09472022080703,8.27983333333333,0,183,2021,0.0758159826,7.40572582155873
"565",2021-07-02 06:00:00,8.33216666666667,17.1981666666667,7.64720397608618,1.08957034397441,33.824,0,183,2021,0.0758159826,30.2531778242399
"567",2021-07-02 07:00:00,8.39208333333333,16.8286666666667,7.70729427563712,1.08884947599067,152.208,0,183,2021,0.0758159826,136.13930020908
"569",2021-07-02 08:00:00,7.923,18.7399166666667,7.40501593566736,1.06995043208991,660.801166666667,0.0449219933262507,183,2021,0.0758159826,591.039948014187
"571",2021-07-02 09:00:00,7.71241666666667,19.37725,7.30874401353243,1.05523146690961,1275.799,0.157226976641878,183,2021,0.0758159826,1141.11205105805
"573",2021-07-02 10:00:00,7.68241666666667,19.6518333333333,7.26792998383783,1.05702953712413,1681.86316666667,0.179687973305003,183,2021,0.0758159826,1504.30775358343
"575",2021-07-02 11:00:00,7.66816666666667,19.8166666666667,7.24361724721453,1.05861013979105,1880.22683333333,0.29199295662063,183,2021,0.0758159826,1681.73003603184
"577",2021-07-02 12:00:00,7.68308333333333,19.9478333333333,7.22437008386587,1.06349525898347,1955.09766666667,0.33691494994688,183,2021,0.0758159826,1748.69670569487
"579",2021-07-02 13:00:00,7.68091666666667,20.072,7.20623094719623,1.06587156628045,1932.01983333333,0.471680929925633,183,2021,0.0758159826,1728.0552145752
"581",2021-07-02 14:00:00,8.17091666666667,19.2953333333333,7.32099664002028,1.11609348678024,1632.5365,0.449219933262507,183,2021,0.0758159826,1460.18853592308
"583",2021-07-02 15:00:00,8.58208333333333,18.4679166666667,7.44677170183928,1.15245688695058,582.230833333333,0.224609966631254,183,2021,0.0758159826,520.76433702663
"585",2021-07-02 16:00:00,8.11916666666667,19.4311666666667,7.3006987393616,1.1121081634135,332.4265,0.0449219933262507,183,2021,0.0758159826,297.332013303858
"587",2021-07-02 17:00:00,8.39491666666667,18.6040833333333,7.42581750439994,1.13050403698886,255.441666666667,0.247070963294379,183,2021,0.0758159826,228.474520026812
"589",2021-07-02 18:00:00,8.2635,18.88275,7.38325073693397,1.11922245287739,162.073333333333,0.0449219933262507,183,2021,0.0758159826,144.96314374115
"591",2021-07-02 19:00:00,8.18641666666667,18.9235833333333,7.37704877912007,1.10971431961212,37.3473333333333,0,183,2021,0.0758159826,33.4045505142649
"593",2021-07-02 20:00:00,7.9745,19.7870833333333,7.24797044420773,1.1002390340006,0,0,183,2021,0.0758159826,0
"595",2021-07-02 21:00:00,7.80116666666667,19.9736666666667,7.22058970905091,1.0804057536863,0,0,183,2021,0.0758159826,0
"597",2021-07-02 22:00:00,7.76466666666667,19.8349166666667,7.2409339963459,1.07232943575857,0,0,183,2021,0.0758159826,0
"599",2021-07-02 23:00:00,7.69683333333333,19.6321666666667,7.27084017382325,1.05858926194579,0,0,183,2021,0.0758159826,0
