"","datetime","do.obs","wtr","do_eq","o2_sat","par","wspeed","yday","year","PAR_Kd","par_int"
"481",2021-07-01 00:00:00,8.6735,14.553,8.09619968635416,1.0713050981955,0,0,182,2021,0.07549272,0
"484",2021-07-01 01:00:00,8.59066666666667,14.8958333333333,8.03545045122391,1.0690958420829,0,0,182,2021,0.07549272,0
"487",2021-07-01 02:00:00,8.51475,15.3255833333333,7.960411538298,1.06963690998073,0,0,182,2021,0.07549272,0
"490",2021-07-01 03:00:00,8.4935,15.4335,7.9417593497045,1.06947335294364,0,0,182,2021,0.07549272,0
"493",2021-07-01 04:00:00,8.28966666666667,16.06675,7.83382339578967,1.05818911760533,15.855,0,182,2021,0.07549272,14.1877951246715
"496",2021-07-01 05:00:00,8.20633333333333,16.22175,7.80779185402022,1.05104407068791,86.674,0,182,2021,0.07549272,77.5599466815377
"499",2021-07-01 06:00:00,8.17408333333333,16.3119166666667,7.7927178371711,1.04893870202038,516.873,0,182,2021,0.07549272,462.522121064291
"502",2021-07-01 07:00:00,8.08125,16.8024166666667,7.7115943818317,1.04793504428075,1127.819,0,182,2021,0.07549272,1009.2251598683
"505",2021-07-01 08:00:00,8.029,17.1070833333333,7.66194081117815,1.04790681602321,1546.391,0,182,2021,0.07549272,1383.78295115963
"508",2021-07-01 09:00:00,8.10966666666667,17.1659166666667,7.65241623932422,1.0597524249913,1858.206,0,182,2021,0.07549272,1662.8095886115
"511",2021-07-01 10:00:00,8.36908333333333,16.0495,7.83672978155216,1.06793057392822,2054.808,0,182,2021,0.07549272,1838.73824815743
"514",2021-07-01 11:00:00,8.59133333333333,15.1098333333333,7.99793073678472,1.07419451556631,2133.026,0,182,2021,0.07549272,1908.73137077247
"517",2021-07-01 12:00:00,8.60816666666667,15.1695,7.98752391095455,1.07770152085065,2105.544,0,182,2021,0.07549272,1884.13919255638
"520",2021-07-01 13:00:00,8.70216666666667,15.1076666666667,7.99830908190795,1.0880007983626,1967.077,0,182,2021,0.07549272,1760.23244846758
"523",2021-07-01 14:00:00,8.64641666666667,15.1443333333333,7.9919105090306,1.08189608190638,1715.511,0,182,2021,0.07549272,1535.11943248946
"526",2021-07-01 15:00:00,8.5915,15.3928333333333,7.9487791968318,1.08085780058205,1374.1,0,182,2021,0.07549272,1229.60891080486
"529",2021-07-01 16:00:00,8.5405,15.6079166666667,7.91177357269913,1.07946719171418,1004.15,0,182,2021,0.07549272,898.560357895863
"532",2021-07-01 17:00:00,8.45325,15.9045,7.861234545536,1.07530820395127,528.5,0,182,2021,0.07549272,472.926504155717
"535",2021-07-01 18:00:00,8.35158333333333,16.4310833333333,7.77287303798069,1.07445255988679,258.965,0,182,2021,0.07549272,231.733987036301
"538",2021-07-01 19:00:00,8.34441666666667,16.57925,7.7483210191916,1.07693223422192,78.218,0,182,2021,0.07549272,69.9931226150461
"541",2021-07-01 20:00:00,8.37058333333333,16.32175,7.79107696354677,1.07438077848518,9.513,0,182,2021,0.07549272,8.51267707480291
"544",2021-07-01 21:00:00,8.39708333333333,16.1144166666667,7.82580195573195,1.07299972332969,0,0,182,2021,0.07549272,0
"547",2021-07-01 22:00:00,8.69058333333333,14.6791666666667,8.07375064840574,1.07639976905274,0,0,182,2021,0.07549272,0
"550",2021-07-01 23:00:00,8.70933333333333,14.6388333333333,8.0809154399747,1.07776568113186,0,0,182,2021,0.07549272,0
"553",2021-07-02 00:00:00,8.67558333333333,14.6688333333333,8.07558520324334,1.0742977895706,0,0,183,2021,0.0758159826,0
"555",2021-07-02 01:00:00,8.668,14.7825,8.05544489012806,1.07604236863722,0,0,183,2021,0.0758159826,0
"557",2021-07-02 02:00:00,8.62133333333333,15.0248333333333,8.0127968827818,1.07594557299452,0,0,183,2021,0.0758159826,0
"559",2021-07-02 03:00:00,8.55566666666667,15.15575,7.98992004318876,1.07080754505925,0,0,183,2021,0.0758159826,0
"561",2021-07-02 04:00:00,8.39191666666667,15.5128333333333,7.92809587848018,1.05850342822486,13.741,0,183,2021,0.0758159826,12.2903534910975
"563",2021-07-02 05:00:00,8.13666666666667,16.35375,7.78574132447598,1.04507282319893,83.503,0,183,2021,0.0758159826,74.6875327535923
"565",2021-07-02 06:00:00,7.99591666666667,17.0365833333333,7.67338123348003,1.04203302603803,525.329,0,183,2021,0.0758159826,469.869668082726
"567",2021-07-02 07:00:00,7.94566666666667,17.5318333333333,7.5936359765023,1.04635864706363,1130.99,0,183,2021,0.0758159826,1011.59063349802
"569",2021-07-02 08:00:00,8.13375,16.8165,7.7092868229905,1.0550586826973,1536.878,0,183,2021,0.0758159826,1374.6287673889
"571",2021-07-02 09:00:00,8.33691666666667,16.093,7.82940422759277,1.06482133561137,1896.258,0,183,2021,0.0758159826,1696.06878177145
"573",2021-07-02 10:00:00,8.38908333333333,15.9095,7.86038733740145,1.06726080703634,2045.295,0,183,2021,0.0758159826,1829.37184655951
"575",2021-07-02 11:00:00,8.54225,15.41,7.94581458526526,1.0750628407364,2044.238,0,183,2021,0.0758159826,1828.4264347525
"577",2021-07-02 12:00:00,8.59241666666667,15.55725,7.92046389329071,1.08483755275308,2032.611,0,183,2021,0.0758159826,1818.02690487542
"579",2021-07-02 13:00:00,8.542,15.68925,7.89785793903584,1.08155908423985,1957.564,0,183,2021,0.0758159826,1750.90266657788
"581",2021-07-02 14:00:00,8.50316666666667,15.9565833333333,7.85241723795508,1.08287249760063,1729.252,0,183,2021,0.0758159826,1546.69371626426
"583",2021-07-02 15:00:00,8.43216666666667,15.9849166666667,7.84762783878703,1.07448605360598,1436.463,0,183,2021,0.0758159826,1284.81464572319
"585",2021-07-02 16:00:00,8.346,16.1954166666667,7.81220380928955,1.06832850290922,1013.663,0,183,2021,0.0758159826,906.64992292019
"587",2021-07-02 17:00:00,8.30975,16.2940833333333,7.7956951911644,1.06594085533491,522.158,0,183,2021,0.0758159826,467.033432661703
"589",2021-07-02 18:00:00,8.3245,16.3724166666667,7.7826317993127,1.06962531630176,175.462,0,183,2021,0.0758159826,156.938359963244
"591",2021-07-02 19:00:00,8.25508333333333,16.5041666666667,7.76074587156806,1.06369715874557,30.653,0,183,2021,0.0758159826,27.4169424032174
"593",2021-07-02 20:00:00,8.24008333333333,16.61125,7.7430361284094,1.06419280456412,2.114,0,183,2021,0.0758159826,1.89082361401499
"595",2021-07-02 21:00:00,8.24125,16.93625,7.68971407731079,1.07172385307752,0,0,183,2021,0.0758159826,0
"597",2021-07-02 22:00:00,8.19233333333333,17.0518333333333,7.67090402049331,1.06797494942539,0,0,183,2021,0.0758159826,0
"599",2021-07-02 23:00:00,8.15891666666667,17.1671666666667,7.65221409880057,1.06621646510721,0,0,183,2021,0.0758159826,0
"601",2021-07-03 00:00:00,8.132,17.1101666666667,7.66144113737038,1.06141910564768,0,0,184,2021,0.0761392452,0
"603",2021-07-03 01:00:00,8.07775,17.1385,7.65685218608366,1.05497008479298,0,0,184,2021,0.0761392452,0
"605",2021-07-03 02:00:00,7.96816666666667,17.2545833333333,7.6381006809535,1.04321309701196,0,0,184,2021,0.0761392452,0
"607",2021-07-03 03:00:00,8.02258333333333,17.1605833333333,7.65327880966375,1.04825441916519,0,0,184,2021,0.0761392452,0
"609",2021-07-03 04:00:00,7.729,17.2259166666667,7.64272393357847,1.01128865404159,13.741,0,184,2021,0.0761392452,12.2846215098843
"611",2021-07-03 05:00:00,7.81425,17.25375,7.63823500935818,1.02304393494389,81.389,0,184,2021,0.0761392452,72.7627581739301
"613",2021-07-03 06:00:00,8.09941666666667,16.9475833333333,7.68786614951326,1.05353247691227,533.785,0,184,2021,0.0761392452,477.210297114737
"615",2021-07-03 07:00:00,8.13666666666667,16.91,7.69399716658727,1.05753439863505,1151.073,0,184,2021,0.0761392452,1029.07329417415
"617",2021-07-03 08:00:00,7.97916666666667,17.4308333333333,7.60978202328087,1.04854076532754,1552.733,0,184,2021,0.0761392452,1388.16223061693
"619",2021-07-03 09:00:00,7.99508333333333,17.4649166666667,7.60432674920558,1.05138608545044,1867.719,0,184,2021,0.0761392452,1669.76355445889
"621",2021-07-03 10:00:00,8.03375,17.5585,7.58938290257035,1.05855115009142,2067.492,0,184,2021,0.0761392452,1848.3630517949
"623",2021-07-03 11:00:00,8.09391666666667,17.66975,7.57168407439574,1.06897178846076,2159.451,0,184,2021,0.0761392452,1930.57551882259
"625",2021-07-03 12:00:00,8.03758333333333,17.8773333333333,7.53885013021825,1.06615507597319,1930.082,0,184,2021,0.0761392452,1725.51683669606
"627",2021-07-03 13:00:00,8.12541666666667,17.863,7.54110933368306,1.07748294145183,1902.6,0,184,2021,0.0761392452,1700.94759367629
"629",2021-07-03 14:00:00,8.06941666666667,18.145,7.49687516830691,1.07637068585324,1882.16466666667,0.0898439866525015,184,2021,0.0761392452,1682.67815655902
"631",2021-07-03 15:00:00,8.05958333333333,18.1184166666667,7.50102579892094,1.07446415322192,986.533333333333,0,184,2021,0.0761392452,881.972826350668
"633",2021-07-03 16:00:00,8.06,17.8705,7.53992704607652,1.06897586020996,162.073333333333,0,184,2021,0.0761392452,144.89553575761
"635",2021-07-03 17:00:00,8.03575,17.73125,7.56193068115206,1.06265851127529,131.772666666667,0,184,2021,0.0761392452,117.806370376839
"637",2021-07-03 18:00:00,8.05758333333333,17.6021666666667,7.58242740525716,1.06266541078214,124.726,0,184,2021,0.0761392452,111.506564474334
"639",2021-07-03 19:00:00,8.07108333333333,17.4584166666667,7.60536659591479,1.0612352779508,50.736,0,184,2021,0.0761392452,45.3586024980344
"641",2021-07-03 20:00:00,8.10216666666667,17.3133333333333,7.62864084625923,1.06207210824975,2.81866666666667,0,184,2021,0.0761392452,2.51992236100191
"643",2021-07-03 21:00:00,8.09858333333333,17.29925,7.63090667031735,1.06128716851369,0,0,184,2021,0.0761392452,0
"645",2021-07-03 22:00:00,8.08458333333333,17.04775,7.67156718188706,1.05383725927884,0,0,184,2021,0.0761392452,0
"647",2021-07-03 23:00:00,8.11441666666667,16.7933333333333,7.71308332525287,1.052032802511,0,0,184,2021,0.0761392452,0
"649",2021-07-04 00:00:00,8.20425,16.57625,7.74881679889611,1.0587745475114,0,0,185,2021,0.0764625078,0
"651",2021-07-04 01:00:00,8.08691666666667,17.0223333333333,7.67569726134306,1.05357420848196,0,0,185,2021,0.0764625078,0
"653",2021-07-04 02:00:00,7.96033333333333,17.15725,7.65381800179755,1.04004737654642,0,0,185,2021,0.0764625078,0
"655",2021-07-04 03:00:00,7.90558333333333,17.2519166666667,7.63853054627455,1.03496127762283,0,0,185,2021,0.0764625078,0
"657",2021-07-04 04:00:00,7.92875,17.3646666666667,7.62039185475253,1.0404648673093,5.63733333333333,0,185,2021,0.0764625078,5.03749463048058
"659",2021-07-04 05:00:00,7.84091666666667,17.5296666666667,7.5939817202618,1.03251718999349,59.8966666666667,0,185,2021,0.0764625078,53.5233804488562
"661",2021-07-04 06:00:00,7.81041666666667,17.6720833333333,7.57131362912568,1.03158012588743,419.981333333333,0,185,2021,0.0764625078,375.293349970803
"663",2021-07-04 07:00:00,7.85066666666667,17.8266666666667,7.54684140950748,1.04025859835565,1058.40933333333,0,185,2021,0.0764625078,945.789616872729
"665",2021-07-04 08:00:00,7.86866666666667,17.7084166666667,7.56554931715127,1.0400654779724,1354.36933333333,0,185,2021,0.0764625078,1210.25808497296
"667",2021-07-04 09:00:00,7.84708333333333,17.9985,7.51979872631837,1.04352305413036,1715.86333333333,0,185,2021,0.0764625078,1533.28742815253
"669",2021-07-04 10:00:00,7.83316666666667,18.2475833333333,7.48089536284416,1.04708945744278,2054.808,0,185,2021,0.0764625078,1836.16679281017
"671",2021-07-04 11:00:00,7.91116666666667,18.0958333333333,7.50455500945913,1.05418198103619,2139.368,0,185,2021,0.0764625078,1911.72921226738
"673",2021-07-04 12:00:00,7.94783333333333,18.23275,7.48320236174536,1.06208985794146,2022.39333333333,0,185,2021,0.0764625078,1807.20119868491
"675",2021-07-04 13:00:00,8.14183333333333,17.6055,7.58189690523297,1.07385175967163,2001.25333333333,0,185,2021,0.0764625078,1788.31059382061
"677",2021-07-04 14:00:00,8.20983333333333,17.586,7.5850012434132,1.08237732201596,1753.21066666667,0,185,2021,0.0764625078,1566.66083007946
"679",2021-07-04 15:00:00,8.1335,17.84775,7.54351430911182,1.07821098584986,1425.54066666667,0.0898439866525015,185,2021,0.0764625078,1273.85645468278
"681",2021-07-04 16:00:00,8.00483333333333,18.1000833333333,7.50389062113113,1.0667577310884,1022.47133333333,0,185,2021,0.0764625078,913.675588603415
"683",2021-07-04 17:00:00,7.97833333333333,18.0965,7.50445078494806,1.06314686603525,579.236,0,185,2021,0.0764625078,517.60257328188
"685",2021-07-04 18:00:00,7.97125,18.0959166666667,7.5045419812582,1.06219007367903,186.032,0,185,2021,0.0764625078,166.237322805859
"687",2021-07-04 19:00:00,7.93708333333333,17.971,7.52411531529861,1.05488592355769,33.824,0,185,2021,0.0764625078,30.2249677828835
"689",2021-07-04 20:00:00,7.90283333333333,18.1114166666667,7.50211941664429,1.05341342818404,2.81866666666667,0,185,2021,0.0764625078,2.51874731524029
"691",2021-07-04 21:00:00,7.85458333333333,18.3144166666667,7.47051615416631,1.05141106333768,0,0,185,2021,0.0764625078,0
"693",2021-07-04 22:00:00,7.82925,17.8309166666667,7.54617052463379,1.03751299741268,0,0,185,2021,0.0764625078,0
"695",2021-07-04 23:00:00,7.88108333333333,17.6930833333333,7.56798103468394,1.04137197189243,0,0,185,2021,0.0764625078,0
"697",2021-07-05 00:00:00,7.87008333333333,17.77125,7.55559868939069,1.04162272996106,0,0,186,2021,0.0767857704,0
"699",2021-07-05 01:00:00,7.852,17.9278333333333,7.53089971248438,1.04263770595475,0,0,186,2021,0.0767857704,0
"701",2021-07-05 02:00:00,8.33583333333333,16.001,7.84491140896539,1.06257838983458,0,0,186,2021,0.0767857704,0
"703",2021-07-05 03:00:00,8.50483333333333,15.4353333333333,7.94144313513711,1.07094305009923,0,0,186,2021,0.0767857704,0
"705",2021-07-05 04:00:00,8.49325,15.641,7.90610807830253,1.07426434294629,9.86533333333333,0,186,2021,0.0767857704,8.81150554969859
"707",2021-07-05 05:00:00,8.17441666666667,16.61375,7.74262350997596,1.05576832660588,62.7153333333333,0,186,2021,0.0767857704,56.015999565941
"709",2021-07-05 06:00:00,7.81716666666667,17.57025,7.58751020236327,1.03026769759491,398.841333333333,0,186,2021,0.0767857704,356.236581509243
"711",2021-07-05 07:00:00,7.79425,17.8648333333333,7.54082030039112,1.03360770970709,1084.482,0,186,2021,0.0767857704,968.636217213295
"713",2021-07-05 08:00:00,7.83783333333333,17.98075,7.52258439742243,1.04190699887912,1492.484,0,186,2021,0.0767857704,1333.05491101869
"715",2021-07-05 09:00:00,7.80425,18.3311666666667,7.46791878517772,1.04503680670575,1818.74466666667,0,186,2021,0.0767857704,1624.46398741229
"717",2021-07-05 10:00:00,7.80991666666667,18.477,7.44537071937243,1.04896276640003,2051.98933333333,0,186,2021,0.0767857704,1832.79315433731
"719",2021-07-05 11:00:00,8.06666666666667,17.6896666666667,7.56852306933273,1.06581780788281,2153.109,0,186,2021,0.0767857704,1923.11108622172
"721",2021-07-05 12:00:00,8.13541666666667,17.3440833333333,7.62369762723431,1.0671221583611,2133.73066666667,0,186,2021,0.0767857704,1905.80277174909
"723",2021-07-05 13:00:00,8.26525,17.4795833333333,7.6019813339118,1.08724944681585,2012.528,0,186,2021,0.0767857704,1797.54713213851
"725",2021-07-05 14:00:00,8.09783333333333,17.7543333333333,7.55827547269594,1.07138637147938,1779.28333333333,0.0898439866525015,186,2021,0.0767857704,1589.2179652135
"727",2021-07-05 15:00:00,8.06675,17.8434166666667,7.54419793253482,1.06926542385793,1431.88266666667,0.0898439866525015,186,2021,0.0767857704,1278.92709121339
"729",2021-07-05 16:00:00,7.9875,18.0025833333333,7.51915814391037,1.06228647504494,1018.948,0,186,2021,0.0767857704,910.102644633154
"731",2021-07-05 17:00:00,7.95533333333333,18.08325,7.50652271724689,1.05978941688343,573.598666666667,0,186,2021,0.0767857704,512.326108389618
"733",2021-07-05 18:00:00,7.93425,18.0895833333333,7.50553223613364,1.0571202348319,185.327333333333,0,186,2021,0.0767857704,165.530425683623
"735",2021-07-05 19:00:00,7.99658333333333,17.7909166666667,7.55248882815958,1.05880108071368,28.1866666666667,0,186,2021,0.0767857704,25.175730141996
"737",2021-07-05 20:00:00,7.94025,17.8240833333333,7.54724925276943,1.05207205089806,2.81866666666667,0,186,2021,0.0767857704,2.5175730141996
