datetime,PAR_Kd
7/1/2021,0.07549272
8/20/2021,0.09165585
8/23/2021,0.08386734
8/25/2021,0.08546171
8/27/2021,0.08900488
9/2/2021,0.08668523
9/21/2021,0.10604036
9/30/2021,0.09840916
