name,index,unique_day,middle,lower,upper,yday,year
NEP,6,6,-11.18909647959651,-30.907853976949156,7.881708728526799,13,2022
NEP,7,7,-6.37875162635193,-28.799306135273607,15.963403035331485,130,2022
NEP,8,8,2.035552680488201,-9.396681112364485,13.270766708738694,131,2022
NEP,9,9,3.991223315351882,-6.760974616000902,14.028368964618101,132,2022
NEP,10,10,10.98006770289065,-0.59491019297353,21.80750109433131,133,2022
NEP,11,11,9.231336838653217,-7.143496157359255,22.86094779514273,134,2022
NEP,12,12,8.258463674144869,-7.838432900586415,21.769501702247368,135,2022
NEP,13,13,9.484697458663236,-5.999624232953413,23.269110364845556,136,2022
NEP,14,14,11.287169670750751,1.4968623892055415,20.67372651746651,137,2022
NEP,15,15,15.88475357981694,5.244782795082289,26.13848317397977,138,2022
NEP,16,16,13.380915061581051,2.6878838440939097,22.939761447414288,139,2022
NEP,17,17,13.403441578701134,1.0379702410302076,23.922541528592856,14,2022
NEP,18,18,61.3312433068605,17.66165031143823,98.20111740488488,140,2022
NEP,19,19,10.263139212901288,-4.329591268203722,22.17242645774229,15,2022
NEP,20,20,7.466217679562158,-6.612508657718124,18.85061399771851,16,2022
NEP,21,21,6.846739959507922,-5.690935916122384,17.50915986553282,17,2022
NEP,22,22,6.22267896796105,-8.059461904104017,18.422099270038082,18,2022
NEP,23,23,5.012475394154651,-8.09683285932098,15.839460700432056,19,2022
NEP,24,24,5.1894494696054405,-6.671095651154483,15.187751123732316,2,2022
NEP,25,25,5.15219476890748,-7.4915897832890765,16.19593122174972,20,2022
NEP,26,26,3.336076859355112,-10.823485333615146,14.845350306437037,21,2022
NEP,27,27,3.261181449713418,-9.586149571240254,14.151180658729599,22,2022
NEP,28,28,2.6578562794877754,-10.49575587294944,13.734549100964227,23,2022
NEP,29,29,2.045097148404529,-11.569994887392298,13.513872766735473,24,2022
NEP,30,30,3.0710638552335103,-11.449149500070915,15.023219837508051,25,2022
NEP,31,31,1.6184510931648637,-11.695665266085527,12.603916356264206,26,2022
NEP,32,32,1.9310430494974236,-18.25221659596359,18.914590811915055,27,2022
NEP,33,33,-0.9934913938574799,-18.233757317409466,12.882824066636488,28,2022
NEP,34,34,0.8068316957076408,-12.927090899870118,12.860956505941482,29,2022
NEP,35,35,1.8022570211685347,-9.834083893027861,12.485011747659472,3,2022
NEP,36,36,1.6900667506182492,-10.766400783044398,13.065847047129846,30,2022
NEP,37,37,-0.6189498833891276,-13.469057099959295,9.719365201571664,31,2022
NEP,38,38,-1.1617021294945873,-14.177788476880735,9.853734754909858,32,2022
NEP,39,39,-1.832813299424683,-15.52658780391518,9.824366294712686,33,2022
NEP,40,40,-6.248111186248709,-25.532701289694796,9.682133758930597,34,2022
NEP,41,41,-3.6864254614966305,-19.787035771446565,10.242318100790428,35,2022
NEP,42,42,-5.545639433660286,-23.063296943048226,9.766279866123346,36,2022
NEP,43,43,-8.243096177715785,-28.788945906679754,8.703155913987768,37,2022
NEP,44,44,-9.578362810580947,-30.426131102979827,7.613829353527536,38,2022
NEP,45,45,-11.38923785278368,-33.296035853297525,6.875655929211936,39,2022
NEP,46,46,-10.849261824741259,-33.464473861542345,8.980664005469157,4,2022
NEP,47,47,-1.3108088690088167,-17.44230063176885,13.893564368059762,40,2022
NEP,48,48,-1.324603538269852,-14.951016140633357,11.270633764915576,41,2022
NEP,49,49,-5.0811176345644045,-20.028277882373843,9.33713843955134,42,2022
