name,index,unique_day,middle,lower,upper,yday,year
GPP,1,1,7.33801146973294,0.4728720255853344,17.291555120335598,182,2021
GPP,2,2,8.03517049087679,0.9930253403178428,17.260885114160057,183,2021
GPP,3,3,9.701278309625922,1.2953274969682291,20.339225563174967,184,2021
GPP,4,4,12.074632453460087,1.8696141061956473,23.71512955271763,185,2021
GPP,5,5,12.340375494393513,2.6829643712803186,22.98051735139655,186,2021
GPP,6,6,19.894379115170295,9.60082800970649,30.55054055273483,187,2021
GPP,7,7,17.078086950763012,9.794527407536652,24.80704774016476,188,2021
GPP,8,8,25.003697100381764,16.590172438181014,33.285533642861594,189,2021
GPP,9,9,28.32794935990468,19.098724745233774,36.896761680303825,190,2021
GPP,10,10,29.547228398728983,20.453317086432353,39.58030772471624,191,2021
GPP,11,11,31.036274885824245,20.538560240224705,41.29856804341759,192,2021
GPP,12,12,34.86353495350306,23.309418092880712,47.174501966443664,193,2021
GPP,13,13,32.00796422633623,22.128889193099052,42.78345084763397,194,2021
GPP,14,14,31.267031518653127,21.75109436469706,41.952780206069576,195,2021
GPP,15,15,23.89870495976777,14.693204255395994,33.06420814921174,196,2021
GPP,16,16,20.932129997034,11.889600459242791,29.953187999942283,197,2021
GPP,17,17,15.703246450770775,6.645514447603306,25.054956441619538,198,2021
GPP,18,18,16.19982203775301,4.106513721647091,28.264721147639317,199,2021
GPP,19,19,19.13143835275889,5.569081980324559,31.75026078933468,200,2021
GPP,20,20,17.261992768132174,4.837526659893682,29.954292590296312,201,2021
GPP,21,21,10.32928921120634,1.451805477737578,20.733497473865885,202,2021
GPP,22,22,5.344267868353291,0.21407992225937808,15.942377590085,203,2021
GPP,23,23,5.8743296101440166,0.3018024562376999,17.989705980014772,204,2021
GPP,24,24,6.452537440226784,0.47592084569400245,17.38295101341579,205,2021
GPP,25,25,6.886610208241273,0.44119347366594003,18.37958300457211,206,2021
GPP,26,26,5.829379162361121,0.3351045974515003,17.05610946427547,207,2021
GPP,27,27,7.161404085791872,0.5666934168118547,17.488113399228013,208,2021
GPP,28,28,4.557313493407229,0.21278359842855116,14.28358212182365,209,2021
GPP,29,29,5.097110711260051,0.2878361455116844,14.700173661695738,210,2021
GPP,30,30,7.781885012880842,0.7245589791428161,19.855420397634028,211,2021
GPP,31,31,7.63366779976258,0.6728638498175017,19.374394114605323,212,2021
GPP,32,32,6.162062611317478,0.35643935694691303,17.64394761656347,213,2021
GPP,33,33,5.686977023007316,0.3913635129255252,16.35428608578453,214,2021
GPP,34,34,5.740152326582477,0.4016227887911437,16.843466353205734,215,2021
GPP,35,35,8.423316484280058,0.8759779857631314,20.289475517834717,216,2021
GPP,36,36,7.679873477776836,1.10562730851128,16.699690141825496,217,2021
GPP,37,37,11.555914114326724,1.8213812586061209,24.580901372170807,218,2021
GPP,38,38,8.423458394088906,1.125402794168064,18.892078052773527,219,2021
GPP,39,39,8.440396918591986,0.785603408867037,20.155788635226248,220,2021
GPP,40,40,6.638377938309567,0.49389200592858096,17.43070269644267,221,2021
GPP,41,41,6.873404543016898,0.5043978224669299,17.816545837805542,222,2021
GPP,42,42,6.548607422971739,0.4055629062266331,17.656482872372404,223,2021
GPP,43,43,7.268594282155734,0.5639367927463542,18.517222038258488,224,2021
GPP,44,44,6.940680395700037,0.454105195820003,19.06187456649601,225,2021
GPP,45,45,8.127417753827146,0.7101681989838549,20.36468478357272,226,2021
GPP,46,46,8.58285003261745,0.6299907647711955,21.519387701943153,227,2021
GPP,47,47,11.642549415773095,1.3366350334493144,25.002782578649857,228,2021
GPP,48,48,10.25844021165329,1.2155032562250452,22.81177116161892,229,2021
GPP,49,49,10.189799241325439,0.9225456443531199,25.28017420422095,230,2021
GPP,50,50,7.277846960868723,0.712466729783929,17.995544545852752,231,2021
GPP,51,51,9.230791690041858,0.7260468461098576,20.609090687061826,232,2021
GPP,52,52,10.918268991416177,1.22647357571705,22.849219356048067,233,2021
GPP,53,53,14.417356951288973,3.109456786765702,26.621577125539527,235,2021
GPP,54,54,11.447439133246167,2.802305753782693,21.681873835255498,236,2021
GPP,55,55,7.351933843268494,0.7150803287014397,15.949671936773257,237,2021
GPP,56,56,5.454227604688682,0.38709504719311844,14.38531714228519,238,2021
GPP,57,57,5.821136843504752,0.37033179803424005,15.490466764172638,239,2021
GPP,58,58,5.7067823402737154,0.477172591006511,14.461052211558803,240,2021
GPP,59,59,4.760492647937762,0.3639142197748643,13.043742029428122,241,2021
