name,index,unique_day,middle,lower,upper,yday,year
GPP,1,1,7.751162744986343,2.9415279002791817,13.896694436674693,10,2022
GPP,2,2,7.29404444101089,3.407566704802838,12.209102493670722,100,2022
GPP,3,3,10.50137644716899,5.284542382500113,15.982729203369818,101,2022
GPP,4,4,14.892008894787125,9.490592154289422,20.519843190670507,102,2022
GPP,5,5,17.024358298838898,11.865436304212775,22.34660172223058,103,2022
GPP,6,6,20.306602277077346,14.498483569995374,26.058718585099655,104,2022
GPP,7,7,12.255617638165388,8.112728059312156,16.988572069704528,105,2022
GPP,8,8,7.769974538143273,2.4298377009637004,13.760731485275999,106,2022
GPP,9,9,10.72068489995359,4.961913066447223,15.873755047657726,107,2022
GPP,10,10,10.445086493811825,4.941689532504212,15.233518280779052,108,2022
GPP,11,11,10.000016173748751,4.464935838837488,14.956735344291786,109,2022
GPP,12,12,8.801019521458276,3.077446613447702,14.230740922336935,11,2022
GPP,13,13,8.23520150021698,2.8031924346633783,13.522365438591484,110,2022
GPP,14,14,6.756819288682938,2.18315267352485,11.56019028913655,111,2022
GPP,15,15,7.478305487290877,2.1556883662476443,13.286177899923421,112,2022
GPP,16,16,7.409947099359535,2.051729268147909,13.350062842763021,113,2022
GPP,17,17,6.53867825604447,1.6269193934410815,12.3631236681836,114,2022
GPP,18,18,6.331504032161023,1.6220004693119077,12.373673508986998,115,2022
GPP,19,19,5.855425218424669,1.4960471341589368,11.768146849376695,116,2022
GPP,20,20,5.675392668419846,1.4399859823471153,11.820323956151038,117,2022
GPP,21,21,5.114569368983991,1.3239187758437223,11.091341135630625,118,2022
GPP,22,22,5.014748113735012,1.363976301154864,11.045904652381587,119,2022
GPP,23,23,4.501342227836499,1.233247769228987,10.079210563932927,12,2022
GPP,24,24,4.452835347303633,1.2768692499788903,9.985887415198265,120,2022
GPP,25,25,4.225311038469284,1.2116691263702966,10.05855576969012,121,2022
GPP,26,26,4.955017095999715,1.5993369440235474,10.402018964125928,122,2022
GPP,27,27,3.9698928822433417,1.1761499350980211,9.617940259038212,123,2022
GPP,28,28,3.8925057978251725,1.1998244572120487,9.530501119477732,124,2022
GPP,29,29,4.21887971811131,1.334579480607038,10.344555714769225,125,2022
GPP,30,30,3.8006014155707732,1.245255992188532,9.537947616766886,126,2022
GPP,31,31,3.955033189569806,1.274134024961939,9.757526138281053,127,2022
GPP,32,32,4.3446060227997885,1.332453446752462,10.246978126771142,128,2022
GPP,33,33,4.589653518726337,1.5921192457254691,9.788195358764758,129,2022
GPP,34,34,4.5883829280729165,1.4457833954354378,10.429947424517929,13,2022
GPP,35,35,4.600725838238107,1.4620908093873328,10.788435472996232,130,2022
GPP,36,36,4.501367647913371,1.4421377298670601,11.360604075561174,131,2022
GPP,37,37,5.489705451661228,1.9221754817594354,11.839292340516165,132,2022
GPP,38,38,5.492366834246505,1.9326639522777291,12.199562617424526,133,2022
GPP,39,39,5.835097209222937,1.8189926828161957,12.846362128538933,134,2022
GPP,40,40,6.280770240515712,2.0124987113187287,13.073817172750749,135,2022
GPP,41,41,7.0574898126577645,2.1337237793683075,13.930671064636527,136,2022
GPP,42,42,7.1817829115139595,2.4822631504817165,13.726852818756607,137,2022
GPP,43,43,7.6594353002496725,3.231274117775507,13.149527418686578,138,2022
GPP,44,44,10.483561802904587,3.758792080526746,17.54356771911806,139,2022
GPP,45,45,6.843618161386223,2.559574220681149,13.5570581421196,14,2022
GPP,46,46,3.447755948916365,1.6310196964058369e-9,22.12313043832437,140,2022
GPP,47,47,6.920991465455999,2.752004823576206,13.71913861422378,15,2022
GPP,48,48,6.8530215338671905,2.728397582373695,13.777119495460582,16,2022
GPP,49,49,7.625360397774625,3.8532253218789405,12.390918714115003,17,2022
GPP,50,50,7.089697804624044,2.9179699488593203,14.630264214996657,18,2022
GPP,51,51,10.73354149259891,3.881142711587306,18.062082330136008,19,2022
GPP,52,52,12.522677838749665,4.554800407488856,20.190915416579752,20,2022
GPP,53,53,8.633033777196111,3.510017317736382,15.944342339771842,21,2022
GPP,54,54,9.180733753528349,3.4853010150561103,16.204094677720562,22,2022
GPP,55,55,9.732393717865964,3.8881525066110743,16.508400366459576,23,2022
